"","integral_props","prop_integrals","integral_props1","prop_integrals1","integral_props2","prop_integrals2","H","site","year.x","integral_pard","integral_mol_5p","folder","Dclip","Dplane","Rclip","dpHB","Rclip.1","Rplane","lon","lat","hoboID","mergekey","L","year","Rcl","Rpl","Hl","dim","rec"
"1",58.9206698466159,0.413260985186211,3559.87221207687,20.2355439595059,39.3413124092292,0.278332096837164,0.075301774,"CB",17,96052.2133056282,39694.6323,"CB17a",2.349945032,2.2936137,1.354012829,-4.144006937,1.354012829,1.233532098,-685.4574718,2652.694566,"CB01","CB17H01",0.25,"17",0.131622779221735,0.0911504548414913,-1.12319479233402,0.25,"CB"
"289",61.285606784538,0.429473675147168,5682.37851735882,32.4312035007815,39.2012738060462,0.276988557994016,0.035185914,"CB",17,91538.4116070175,39313.33805,"CB17a",2.223924648,2.216728167,1.031399929,-4.74567255,1.031399929,1.029601723,-681.7899008,2653.250961,"CB02","CB17H02",0.25,"17",0.0134270971745265,0.0126692606725213,-1.45363116312455,0.25,"CB"
"577",38.9649782181213,0.279108177679895,1127.95698320242,6.91984470786784,27.9934936953819,0.201218596225153,0.146149553,"CB",17,103597.224417989,28914.83252,"CB17a",2.297693669,2.214756079,1.741449271,-3.198774363,1.741449271,1.421152252,-684.5765129,2650.603448,"CB03","CB17H03",0.25,"17",0.240910827834933,0.152640607597705,-0.835202508598918,0.25,"CB"
"865",49.4560754705585,0.369582863369638,3193.43043428289,20.9373068472579,32.7991712259853,0.24531203717108,0.230941904,"CB",17,94508.742806795,34928.81178,"CB17a",2.23876791,2.225566221,2.027049866,-4.346501756,2.027049866,1.945666949,-685.1792742,2654.150467,"CB04","CB17H04",0.25,"17",0.306864432591506,0.289068501610439,-0.636497257967141,0.25,"CB"
"1153",60.4886200886193,0.426236441188467,4022.17851161757,23.0679216214476,40.0076880068754,0.284212202668999,0.037569026,"CB",17,94989.9510870249,40488.1787,"CB17a",2.396048961,2.329560432,1.142096151,-4.28301724,1.142096151,1.084011858,-688.0122526,2654.259427,"CB05","CB17H05",0.25,"17",0.0577026679123874,0.0350340329734005,-1.425170064141,0.25,"CB"
"1441",6.54360952017448,0.0296682290404163,590.285089430406,2.01743183116924,4.18755407298177,0.0193360976626102,0.164126518,"CB",17,92610.6791294156,2747.59484,"CB17a",2.272009338,2.151817051,1.752240562,-4.600100335,1.752240562,1.327344244,-683.472996,2654.340568,"CB06","CB17H06",0.25,"17",0.243593729444648,0.122983570853335,-0.784821244110539,0.25,"CB"
"1729",3.90941308547412,0.0258300229074405,100.19094304868,0.49695441991082,2.8359499958477,0.0191000079091189,0.228681765,"CB",17,106557.74251006,2752.38893000001,"CB17a",2.267599707,2.197733167,2.207834773,-2.846568322,2.207834773,1.77957518,-686.0092302,2650.135149,"CB07","CB17H07",0.25,"17",0.343966569120871,0.250316339948444,-0.640768464495187,0.25,"CB"
"2017",34.1473460449464,0.212951224503273,1340.15760909654,6.03035003713588,23.7624285506007,0.15149623367316,0.23314987,"CB",17,102078.133575916,21737.66354,"CB17a",2.262124235,2.193664461,2.201842316,-3.383424396,2.201842316,1.782537357,-685.8237652,2650.677634,"CB08","CB17H08",0.25,"17",0.342786213934936,0.251038640217567,-0.632364822363889,0.25,"CB"
"2305",45.8862508744746,0.340080391106359,2527.35383188133,15.3487300169522,30.9179878349365,0.230919409488537,0.540645217,"CB",17,96926.0842495651,32962.66064,"CB17a",2.228306685,2.171201754,4.076585271,-4.030797715,4.076585271,3.273084552,-682.8238684,2647.306807,"CB10","CB17H10",0.25,"17",0.610296531006291,0.514957224370864,-0.267087634789029,0.25,"CB"
"2593",29.5644948389485,0.189183127731548,990.902271177528,4.4344587849674,20.8791635982097,0.137155905450667,0.468068477,"CB",17,104245.041122191,19721.40293,"CB17a",2.253454173,2.187349976,3.928146772,-3.120852435,3.928146772,3.054000437,-685.5733874,2649.750309,"CB11","CB17H11",0.25,"17",0.594187706477143,0.484869094864042,-0.329690606311015,0.25,"CB"
"2881",28.2957771564189,0.233915614794063,1159.04077853153,9.17311684934602,19.634299496796,0.161079908719551,0.027778508,"CB",17,98451.4525901777,23029.33206,"CB17a",2.659807289,2.415960715,1.578825096,-3.835611595,1.578825096,1.093793717,-680.5936514,2651.489044,"CB12","CB17H12",0.25,"17",0.198334021047328,0.0389354243594585,-1.55629108418401,0.25,"CB"
"3169",57.4891904067456,0.443244027170488,1251.46703634559,8.93583061903146,42.5095532884478,0.326228290901196,0.191133301,"CB",17,106005.750624424,46986.41581,"CB17a",2.242402252,2.206446141,1.787417234,-2.911489292,1.787417234,1.62095591,-684.6275158,2648.11358,"CB13","CB17H13",0.25,"17",0.252225941018973,0.20977120219946,-0.718663639577227,0.25,"CB"
"3457",27.7679151047061,0.220626243351751,502.283418808416,3.93249899350217,20.9171029578892,0.164393240996581,0.159368677,"CB",17,107466.155566084,23709.85419,"CB17a",2.381046887,2.281652444,2.415523667,-2.740456514,2.415523667,1.764957728,-684.414231,2649.61121,"CB14","CB17H14",0.25,"17",0.38301129700662,0.246734308184925,-0.797597032643826,0.25,"CB"
"3745",61.1566180554768,0.438572551337927,4219.29796645491,26.0766195684442,40.2858015188446,0.289699933340711,0.035534055,"CB",17,94002.3169353207,41226.83597,"CB17a",2.497604931,2.301022588,1.278176417,-4.413663212,1.278176417,1.059968194,-686.4450731,2655.165888,"CB15","CB17H15",0.25,"17",0.106590800334074,0.0252928337765323,-1.44935522978516,0.25,"CB"
"4033",25.6801894387644,0.194989854839584,1129.43500193527,7.28396894537096,17.6816755151767,0.134928701651096,0.184010382,"CB",17,98984.4000647044,19300.9538,"CB17a",2.246127172,2.176421565,1.760208458,-3.768127807,1.760208458,1.474820196,-683.2550746,2652.59256,"CB16","CB17H16",0.25,"17",0.245564103494903,0.168739076148143,-0.735157673087678,0.25,"CB"
"4321",47.1976735031493,0.365795536672893,2212.30559760016,15.3079372837876,32.3182864844581,0.250264072338974,0.127971335,"CB",17,97743.1903767935,35754.02278,"CB17a",2.221492467,2.062948923,1.351609571,-3.92586193,1.351609571,1.10506177,-686.9180089,2648.479873,"CB17","CB17H17",0.25,"17",0.130851258434147,0.0433865546006517,-0.892887299457485,0.25,"CB"
"4609",63.1119451366148,0.440510357390852,2979.07007579418,17.0095899551467,43.198403439155,0.303815750179441,0.077664247,"CB",17,98620.8619641009,43443.51115,"CB17a",2.385449621,2.30918389,1.480205722,-3.814120827,1.480205722,1.277325983,-684.5347833,2653.492066,"CB18","CB17H18",0.25,"17",0.170322078719632,0.106301746559711,-1.10977886413464,0.25,"CB"
"4897",32.0367604261203,0.169632760319716,1955.94883345647,7.65501088513915,21.3402766776784,0.115184503108797,0.055301966,"CB",17,96927.4424881773,16442.06962,"CB17a",2.536543587,2.239762685,1.766938018,-4.030622552,1.766938018,1.086165134,-684.6692454,2646.963697,"CB19","CB17H19",0.25,"17",0.247221315260751,0.0358958577878231,-1.25725942913338,0.25,"CB"
"5185",44.8180657662656,0.327153214130522,2065.19507986022,13.9888221718181,30.7389797645008,0.223344945264557,0.499975899,"CB",17,97509.6133314246,31900.58341,"CB17a",2.181767156,2.150338399,3.173290903,-3.955768947,3.173290903,2.82548433,-688.7819324,2646.755049,"CB20","CB17H20",0.25,"17",0.501509886716442,0.451092903064318,-0.301050930031141,0.25,"CB"
"5473",74.9133463320642,0.540511823207452,3141.51917096951,18.5690094267844,51.885057294054,0.377167946038531,0.040425809,"CB",17,99909.8133312683,54002.43536,"CB17a",2.382306731,2.280417664,1.146458456,-3.651807185,1.146458456,1.065224344,-682.9815136,2646.648406,"CB21","CB17H21",0.25,"17",0.059358321903419,0.0274410829866353,-1.39334128024728,0.25,"CB"
"5761",26.7829851640993,0.211002271691202,937.020916181724,5.85130991266788,18.869279334473,0.150424461831123,0.125363906,"CB",17,102315.971657381,21588.90245,"CB17a",2.402738488,2.27393398,2.140841625,-3.354333759,2.140841625,1.492444845,-683.3941733,2645.340878,"CB22","CB17H22",0.25,"17",0.330584540282453,0.17389829025048,-0.901827484888069,0.25,"CB"
"6049",47.1760861781938,0.34177468632975,3018.8070429509,19.7746196375062,31.3303870620163,0.226376322891116,0.016676972,"CB",17,94287.5370205406,32225.09339,"CB17a",2.592634955,2.21373893,1.143549485,-4.375793367,1.143549485,1.006561059,-685.0633586,2644.098262,"CB23","CB17H23",0.25,"17",0.0582549626440679,0.00284012476114885,-1.77788280040504,0.25,"CB"
"6337",49.4277133124238,0.355866896512348,3169.33838278694,18.7946505167678,32.7996110684834,0.237870648685348,0.086321818,"CB",17,95248.180716421,33895.67447,"CB17a",2.199093003,2.197757018,1.145542432,-4.249082168,1.145542432,1.144035239,-689.9967284,2645.688625,"CB24","CB17H24",0.25,"17",0.059011180511149,0.0584394019635998,-1.06387942167253,0.25,"CB"
"6625",35.9467382475511,0.178549968496488,1983.56373033167,6.76718263821806,24.1728559917487,0.123373787722592,0.084848347,"CB",17,98825.1855689745,17645.23377,"CB17a",2.307442517,2.235494991,1.320214932,-3.788250003,1.320214932,1.186753839,-687.3306686,2647.41345,"CB25","CB17H25",0.25,"17",0.120644640435359,0.0743606452809132,-1.07135661410967,0.25,"CB"
"6913",59.8427119156446,0.435161013439101,3183.33379428693,19.7451092984818,40.4689651205885,0.295322785205802,0.028486573,"CB",17,96868.602375151,42153.43918,"CB17a",2.485648683,2.3439414,1.16992727,-4.038213021,1.16992727,1.055202151,-685.1468179,2645.396517,"CB26","CB17H26",0.25,"17",0.0681588641227022,0.0233356678363362,-1.5453597942393,0.25,"CB"
"7201",46.9308858563122,0.361084520183362,2983.61004849741,21.3329132473533,31.1715900723116,0.238667164332413,0.082549458,"CB",17,94068.9235660154,33966.83213,"CB17a",2.387714834,2.250711295,1.539852868,-4.404809302,1.539852868,1.199462524,-684.2148561,2644.830849,"CB27","CB17H27",0.25,"17",0.187479226246625,0.0789866834215995,-1.08328577386554,0.25,"CB"
"7489",48.4075927766362,0.295268736683187,2913.39178804644,13.8983447230195,32.3339224775278,0.199650699873519,0.04927054,"CB",17,96474.461129843,28485.89226,"CB17a",2.382782475,2.325363378,1.211951778,-4.089177067,1.211951778,1.136133757,-690.7154054,2648.4706,"CB28","CB17H28",0.25,"17",0.08348534015606,0.0554294638639252,-1.3074126778766,0.25,"CB"
