"hoboID","site","year","rep","unit","folder","integral_mol","integral_lux","integral_mol_3p","integral_lux_3p","integral_mol_5p","integral_lux_5p"
"RS31","RS","17","a","H31","RS17a",9425.76295,509500.7,9578.16656666662,517738.733333335,9783.96439000004,528862.940000003
"RS06","RS","17","a","H06","RS17a",13376.77095,723068.7,13764.2842833333,744015.366666666,14002.56712,756895.52
"RS21","RS","17","a","H21","RS17a",31415.2607,1698122.2,31631.6521166666,1709819.03333333,31834.03817,1720758.82
"RS43","RS","17","a","H43","RS17a",66775.75,3609500,66628.1255499999,3601520.3,66409.98169,3589728.74
"RS12","RS","17","a","H12","RS17a",20543.18625,1110442.5,20635.5172833333,1115433.36666667,20685.96481,1118160.26
"RS15","RS","17","a","H15","RS17a",20777.9494,1123132.4,20621.8291333333,1114693.46666667,20467.6200400001,1106357.84
"RS33","RS","17","a","H33","RS17a",57647.69275,3116091.5,57783.6338333333,3123439.66666667,57905.13172,3130007.12
"RS30","RS","17","a","H30","RS17a",47208.51645,2551811.7,47251.5295666666,2554136.73333334,47127.50939,2547432.94
"RS26","RS","17","a","H26","RS17a",32578.7923,1761015.8,32808.2601333333,1773419.46666667,32844.43602,1775374.92
"RS44","RS","17","a","H44","RS17a",42980.7133,2323281.8,43136.4358166666,2331699.23333333,43343.13607,2342872.22
"RS17","RS","17","a","H17","RS17a",41216.00385,2227892.1,41322.1414333333,2233629.26666667,41394.10816,2237519.36
"RS18","RS","17","a","H18","RS17a",32710.82865,1768152.9,32824.79975,1774313.5,32924.2601900001,1779689.74
"RS42","RS","17","a","H42","RS17a",32626.9774,1763620.4,32530.2655666666,1758392.73333333,32515.78204,1757609.84
"RS03","RS","17","a","H03","RS17a",22512.4132,1216887.2,22692.9608666666,1226646.53333333,22797.89077,1232318.42
"RS48","RS","17","a","H48","RS17a",32588.95065,1761564.9,32535.8482499999,1758694.5,32354.45094,1748889.24
"RS22","RS","17","a","H22","RS17a",50177.7979,2712313.4,49914.6767166666,2698090.63333333,49795.97973,2691674.58
"RS24","RS","17","a","H24","RS17a",31522.99175,1703945.5,31786.3781,1718182.6,31935.91397,1726265.62
"RS04","RS","17","a","H04","RS17a",47213.4948,2552080.8,46771.6839666666,2528199.13333333,46441.17567,2510333.82
"RS49","RS","17","a","H49","RS17a",29279.5578,1582678.8,29381.5137666666,1588189.93333333,29421.02175,1590325.5
"RS20","RS","17","a","H20","RS17a",41003.12805,2216385.3,40826.4968333333,2206837.66666667,40704.50771,2200243.66
"RS11","RS","17","a","H11","RS17a",74970.47115,4052457.9,74676.61715,4036573.9,74476.8996600001,4025778.36
"RS02","RS","17","a","H02","RS17a",15605.68055,843550.3,15866.9431,857672.6,16138.40137,872346.02
"RS50","RS","17","a","H50","RS17a",52624.952,2844592,52482.6382833333,2836899.36666667,52039.9783,2812971.8
"RS23","RS","17","a","H23","RS17a",40385.2299,2182985.4,40334.2519166666,2180229.83333334,40262.88274,2176372.04
"RS46","RS","17","a","H46","RS17a",44870.1072,2425411.2,45028.2186833333,2433957.76666667,45103.13246,2438007.16
