rec,year,lon,lat,Dclip,Rclip,Dplane,Rplane,H,L,unit,dpHB,new_unit
CB,17,-689.4101952,2654.435619,2.351758232,1.082577968,2.300669469,1.05472193,0.033950726,0.25,41,-3.865117352,H41
CB,17,-689.4101952,2654.435619,2.5267878,1.088284723,2.372475071,1.025221426,0.033950726,0.5,41,-3.865117352,H41
CB,17,-689.4101952,2654.435619,2.625672703,1.089270102,2.378968235,1.011909863,0.033950726,0.75,41,-3.865117352,H41
CB,17,-688.0122526,2654.259427,2.396048961,1.142096151,2.329560432,1.084011858,0.037569026,0.25,5,-4.28301724,H05
CB,17,-688.0122526,2654.259427,2.357495353,1.324651831,2.231852167,1.124901745,0.138890308,0.5,5,-4.28301724,H05
CB,17,-688.0122526,2654.259427,2.475762807,1.392109133,2.359612977,1.164883931,0.142022443,0.75,5,-4.28301724,H05
CB,17,-686.4450731,2655.165888,2.497604931,1.278176417,2.301022588,1.059968194,0.035534055,0.25,15,-4.413663212,H15
CB,17,-686.4450731,2655.165888,2.656082128,1.261746252,2.434975903,1.045994367,0.035534055,0.5,15,-4.413663212,H15
CB,17,-686.4450731,2655.165888,2.737093575,1.231324486,2.473555455,1.028420505,0.035534055,0.75,15,-4.413663212,H15
CB,17,-685.1792742,2654.150467,2.23876791,2.027049866,2.225566221,1.945666949,0.230941904,0.25,4,-4.346501756,H04
CB,17,-685.1792742,2654.150467,2.354916456,1.905020751,2.347376125,1.862598881,0.26202691,0.5,4,-4.346501756,H04
CB,17,-685.1792742,2654.150467,2.431024996,1.789044158,2.418410111,1.726692966,0.26202691,0.75,4,-4.346501756,H04
CB,17,-683.472996,2654.340568,2.272009338,1.752240562,2.151817051,1.327344244,0.164126518,0.25,6,-4.600100335,H06
CB,17,-683.472996,2654.340568,2.362144207,1.962654061,2.255525567,1.474759153,0.26482744,0.5,6,-4.600100335,H06
CB,17,-683.472996,2654.340568,2.429645857,2.309311102,2.320596185,1.658088549,0.369784532,0.75,6,-4.600100335,H06
CB,17,-684.5347833,2653.492066,2.385449621,1.480205722,2.30918389,1.277325983,0.077664247,0.25,18,-3.814120827,H18
CB,17,-684.5347833,2653.492066,2.57485028,1.561706053,2.38455114,1.138215854,0.077664247,0.5,18,-3.814120827,H18
CB,17,-684.5347833,2653.492066,2.67234403,1.561706053,2.379825655,1.061266434,0.077664247,0.75,18,-3.814120827,H18
CB,17,-681.7899008,2653.250961,2.223924648,1.031399929,2.216728167,1.029601723,0.035185914,0.25,2,-4.74567255,H02
CB,17,-681.7899008,2653.250961,2.241995302,1.040988344,2.224434604,1.035513329,0.0747564,0.5,2,-4.74567255,H02
CB,17,-681.7899008,2653.250961,2.252783586,1.069977196,2.228368974,1.057463952,0.141079743,0.75,2,-4.74567255,H02
CB,17,-685.4574718,2652.694566,2.349945032,1.354012829,2.2936137,1.233532098,0.075301774,0.25,1,-4.144006937,H01
CB,17,-685.4574718,2652.694566,2.5039529,1.327796481,2.444674913,1.21079814,0.075950391,0.5,1,-4.144006937,H01
CB,17,-685.4574718,2652.694566,2.392260868,1.281908139,2.322398133,1.16609584,0.166450622,0.75,1,-4.144006937,H01
CB,17,-683.2550746,2652.59256,2.246127172,1.760208458,2.176421565,1.474820196,0.184010382,0.25,16,-3.768127807,H16
CB,17,-683.2550746,2652.59256,2.342764459,1.493428306,2.258722514,1.269467959,0.188538988,0.5,16,-3.768127807,H16
CB,17,-683.2550746,2652.59256,2.427208171,1.450438674,2.321491423,1.207532211,0.188538988,0.75,16,-3.768127807,H16
CB,17,-683.435903,2651.637416,2.30990208,1.281107196,2.203187088,1.124256127,0.078023406,0.25,9,-3.581047769,H09
CB,17,-683.435903,2651.637416,2.441886596,1.248470215,2.279090926,1.069691421,0.084127701,0.5,9,-3.581047769,H09
CB,17,-683.435903,2651.637416,2.545749539,1.260584481,2.307596871,1.039836464,0.084127701,0.75,9,-3.581047769,H09
CB,17,-680.5936514,2651.489044,2.659807289,1.578825096,2.415960715,1.093793717,0.027778508,0.25,12,-3.835611595,H12
CB,17,-680.5936514,2651.489044,2.826149601,1.577550941,2.436841085,1.028789758,0.027778508,0.5,12,-3.835611595,H12
CB,17,-680.5936514,2651.489044,NA,NA,NA,NA,0.027778508,0.75,12,-3.835611595,H12
